,lines,name,type
0,int tunnel day come on night shift, chill factor ,Comedy
1,that is going to explode let me put it in easy terms aristotle we are carrying a damn bomb, chill factor ,Comedy
2,int brynner's van day shit, chill factor ,Comedy
3,int andy's ice cream factory andy's office day , chill factor ,Comedy
4,ext ice cream truck day unbe fucking lievable, chill factor ,Comedy
5,ext road day shit, chill factor ,Comedy
6, int ice cream truck cab dawn, chill factor ,Comedy
7, , chill factor ,Comedy
8,okay okay what do you work for my boss dog, chill factor ,Comedy
9,you see that was a that was my mission yeah, chill factor ,Comedy
10,my code name was blackjack night shift was my coach uh uh uh i'm sorry mason was my coach yeah, chill factor ,Comedy
11,it all started with our mission in istanbul yeah yeah yeah yeah, chill factor ,Comedy
12,i feel faint oh oh, chill factor ,Comedy
13,bullshit yeah well if we're not gonna be famous at least this'll be a great story to tell some ladies in a bar or somethin' that's bullshit, chill factor ,Comedy
14,us look that's negotiating he threatened to kill, chill factor ,Comedy
15,face crap you've been telling me what about all that no need to get in the man's, chill factor ,Comedy
16,yeah i think so too, chill factor ,Comedy
17,us owes us i feel that my government owes me a little restitution, chill factor ,Comedy
18,you hello, chill factor ,Comedy
19,who put the big hurt on who had to put a gun to your head, chill factor ,Comedy
20,you did help a little always the negative, chill factor ,Comedy
21, hey hey hey hey hey we are heroes my man it's time to start actin' like it, chill factor ,Comedy
22, you know we saved half a million people from a full body peel, chill factor ,Comedy
23,elvis is still in there it's gonna go off , chill factor ,Comedy
24, , chill factor ,Comedy
25,look out , chill factor ,Comedy
26,they'll meet you at the top arlo i'm gonna get elvis you go, chill factor ,Comedy
27,let's go hang on hang on, chill factor ,Comedy
28, yeah yeah yeah, chill factor ,Comedy
29,there's gotta be well hell the smoke's gonna kill us anyway, chill factor ,Comedy
30,vitelli vitelli ta get outta here, chill factor ,Comedy
31, , chill factor ,Comedy
32, what, chill factor ,Comedy
33, oh, chill factor ,Comedy
34, , chill factor ,Comedy
35,mason it says forty nine, chill factor ,Comedy
36,shoot me , chill factor ,Comedy
37,stupid you've gotta be, chill factor ,Comedy
38,what do you think i'm doin' forty seven you'd better floor it, chill factor ,Comedy
39,tunnel tunnel, chill factor ,Comedy
40,he's comin' up fast our ass, chill factor ,Comedy
41,here we've got elvis, chill factor ,Comedy
42,okay oh shit, chill factor ,Comedy
43,okay okay ful, chill factor ,Comedy
44,on hang, chill factor ,Comedy
45, go, chill factor ,Comedy
46,what to him, chill factor ,Comedy
47, you just can't leave that stuff with that lu, chill factor ,Comedy
48,come here , chill factor ,Comedy
49, okay, chill factor ,Comedy
50,i'm sorry i'm a little , chill factor ,Comedy
51,okay , chill factor ,Comedy
52, okay all right man okay, chill factor ,Comedy
53,yeah okay, chill factor ,Comedy
54, reach into my pocket, chill factor ,Comedy
55, what, chill factor ,Comedy
56,hey hey hey we're gonna die, chill factor ,Comedy
57,arlo shut up we're gonna die, chill factor ,Comedy
58,they're movin' huh, chill factor ,Comedy
59, listen arlo, chill factor ,Comedy
60, , chill factor ,Comedy
61,bullshit you would've killed us anyway you all right, chill factor ,Comedy
62, yeah i know i know, chill factor ,Comedy
63,or my conscience squirm i don't want his brains all over my shirt, chill factor ,Comedy
