,lines,name,type
0,now instead of the cops only lookin' at nicky they started looking at green too and he was supposed to be our squeaky, casino ,Drama
1,i'm a little in shock quite frankly, casino ,Drama
2,why are you doing this to me, casino ,Drama
3,it turned out phil green mr integrity had a partner nobody knew about and when she showed up and started demanding some money from the tangiers, casino ,Drama
4,i can't believe you're doing this, casino ,Drama
5,was gonna stop what came up next at the casino, casino ,Drama
6,it's like everything else in this place you don't do it yourself it never gets done, casino ,Drama
7,what are you talking about, casino ,Drama
8,look at that look at this there's nothin' look how many blueberries your muffin has and how many mine has yours is falling apart i have nothing, casino ,Drama
9,what, casino ,Drama
10,look at yours, casino ,Drama
11,phil i can understand you're in the finances you're upstairs but you are not on the floor i got thousands of players i got five hundred dealers they're all lookin' to rob me blind twenty four hours a day i have to let them know i'm watching all the details all the time that there is not one single thing i will not catch as i am over here, casino ,Drama
12,this is his state his uncle's chief judge his brother in law runs the county commission i don't know how many other relatives he's got in town there's gotta be a way to work him back in, casino ,Drama
13,so what everybody out here with cowboy boots is a fuckin' county commissioner or related to a county commissioner i'm fuckin' sick of it, casino ,Drama
14,but you can't just fire him webb's his brother in law he's county commissioner, casino ,Drama
15,i mean the guy is history as far as i'm concerned history, casino ,Drama
16,he did what he was told, casino ,Drama
17,thank you, casino ,Drama
18,yes you were, casino ,Drama
19,you know damn well i was at that dinner and you swore to me that i would have a fair hearing at that dinner did you not did you not well tell me i was at least at the dinner a allow me that much give me that much at least, casino ,Drama
20,i was in the building, casino ,Drama
21,you were in the m you were in the building, casino ,Drama
22,was i at that dinner, casino ,Drama
23,you were wandering around, casino ,Drama
24,was i at that dinner, casino ,Drama
25,you were wandering around, casino ,Drama
26,was i at that dinner, casino ,Drama
27,you were wandering around, casino ,Drama
28,was i at that dinner just tell me, casino ,Drama
29,the only time i was at the tangiers was when i had dinner with barney greenstein, casino ,Drama
30,he's lying, casino ,Drama
31,mr rothstein is being very typical to this point, casino ,Drama
32,liar, casino ,Drama
33,uh i i'd i'd like to answer answer that at this time, casino ,Drama
34,i never comped you i don't comp you at least two or three times a month at the tangiers, casino ,Drama
35,that's right, casino ,Drama
36,you were never my guest, casino ,Drama
37,i was never i was never your guest at the tangiers, casino ,Drama
38,good to see ya william would you, casino ,Drama
39,hey i need a room need a room, casino ,Drama
40,hello senator, casino ,Drama
41,hi ace, casino ,Drama
42,i can't do that, casino ,Drama
43,i would forget about the maneuver i would just get out, casino ,Drama
44,all right look if he took a break it would just give everybody some time to maneuver that's all i'm saying it's all that i'm saying, casino ,Drama
45,they ain't sendin' nicky nowhere, casino ,Drama
46,i don't know he doesn't listen to me maybe he should get lost for a while take a vacation would that be so bad, casino ,Drama
47,what do you propose, casino ,Drama
48,know what my problem is every time they mention my name in the papers these cocksuckers they mention nicky too how the fuck does that help i mean the heat he brought down is murder we had a police department who was cooperative he's pissed them off so much now that nobody can make a move anymore i mean what do you do about that, casino ,Drama
49,the old man said 'maybe your friend should give in ' and when the old man says 'maybe' that's like a papal bull not only should you quit you should run, casino ,Drama
50,walk away andy you can't be serious how can i walk away don't you see what's goin' on here don't you see what's at stake, casino ,Drama
51,these guys back home don't give a fuck about the supreme court and any of this bullshit they want things to quiet down they want you to walk away from, casino ,Drama
52,first of all what they did was totally unconstitutional we're already on the list to be heard before the supreme court of the united states later this year, casino ,Drama
53,it's a pity in this, casino ,Drama
54,he's on all night screamin' about how he's gonna take his damn lawsuit all the way to the supreme court he really must be crazy he's gonna go to washington with this he's out of his fuckin' mind, casino ,Drama
55,nobody's gonna interfere with your running the casino i guarantee it, casino ,Drama
56,i'm serious no interference, casino ,Drama
57,you got it, casino ,Drama
58,it's a tough proposition andy you you know if i did it i'd have to run it my way, casino ,Drama
59,why would they want to find out we're puttin' a hundred million into this desert here why would they want to lock us out and besides they'll never find out all you gotta do is keep changing your job title like uh from casino executive to food and beverage chairman and what happens it they take your application they put it at the bottom of the pile i know guys workin' there for thirty years don't have a license, casino ,Drama
60,but what happens when they do find out, casino ,Drama
61,you don't have to have a license to work in a casino all you gotta do is apply for one the state law says you can work in a casino while they're processing your application they got a ten year backlog, casino ,Drama
62,this check for 62 700 000 for the new tangiers, casino ,Drama
63,but andy also took orders and when he was told to give a pension fund loan to philip green, casino ,Drama
64,on behalf of the teamsters' pension fund it is my pleasure to present to you, casino ,Drama
65,he even played golf with the president, casino ,Drama
66,philip if you would rise, casino ,Drama
67,a powerful man, casino ,Drama
68,this is a very auspicious occasion, casino ,Drama
69,as far as the world was concerned andy stone the head of the teamsters' pension fund was a legitimate guy, casino ,Drama
70,speeding, casino ,Drama
71,look look you can't stop her for speeding i mean look what the hell she's doing, casino ,Drama
72,hold on a second, casino ,Drama
73,hey, casino ,Drama
74,wait hold on a second, casino ,Drama
75,stop, casino ,Drama
76,all right take care, casino ,Drama
77,okay randy thank you, casino ,Drama
78,congratulations, casino ,Drama
79,yeah, casino ,Drama
80,oh good, casino ,Drama
81,not bad not bad in fact uh my wife's pregnant again, casino ,Drama
82,fine fine how's your family, casino ,Drama
83,no it's it'll just be a couple of minutes we got other things to do too you know he'll hurry her up how's everything else besides this, casino ,Drama
84,yeah i don't want her in there more than a few more minutes, casino ,Drama
85,i will let her in the house for five minutes if you gentlemen will escort her out if she happens not to want to leave because i don't i, casino ,Drama
86,no you're not calm, casino ,Drama
87,jesus christ what gun he's got a fuckin' hero sandwich here, casino ,Drama
88,been right but who knows, casino ,Drama
89,the worst was blue, casino ,Drama
90,watch it partner watch it, casino ,Drama
91,stupid things, casino ,Drama
92,i mean frank marino was there to meet him but so were the cops this time they wanted to pinch him for some diamond burglary in antwerp, casino ,Drama
93,excuse me, casino ,Drama
94,even after a little vacation they hassled him at the airport, casino ,Drama
95,you got it schmuck all right i just bought us a few minutes want to get back at this prick, casino ,Drama
96,right back, casino ,Drama
97,i'll call you right back, casino ,Drama
98,right away, casino ,Drama
99,mm hm 1862 okay good i'll call you right b, casino ,Drama
100,702 472 1862, casino ,Drama
