,lines,name
0,now instead of the cops only lookin' at nicky they started looking at green too and he was supposed to be our squeaky i'm a little in shock quite frankly, casino 
1,i can't believe you're doing this was gonna stop what came up next at the casino, casino 
2,look at that look at this there's nothin' look how many blueberries your muffin has and how many mine has yours is falling apart i have nothing what, casino 
3,this is his state his uncle's chief judge his brother in law runs the county commission i don't know how many other relatives he's got in town there's gotta be a way to work him back in so what everybody out here with cowboy boots is a fuckin' county commissioner or related to a county commissioner i'm fuckin' sick of it, casino 
4,he did what he was told thank you, casino 
5,i was in the building you were in the m you were in the building, casino 
6,was i at that dinner you were wandering around, casino 
7,was i at that dinner just tell me the only time i was at the tangiers was when i had dinner with barney greenstein, casino 
8,liar uh i i'd i'd like to answer answer that at this time, casino 
9,you were never my guest i was never i was never your guest at the tangiers, casino 
10,hello senator hi ace, casino 
11,all right look if he took a break it would just give everybody some time to maneuver that's all i'm saying it's all that i'm saying they ain't sendin' nicky nowhere, casino 
12,know what my problem is every time they mention my name in the papers these cocksuckers they mention nicky too how the fuck does that help i mean the heat he brought down is murder we had a police department who was cooperative he's pissed them off so much now that nobody can make a move anymore i mean what do you do about that the old man said 'maybe your friend should give in ' and when the old man says 'maybe' that's like a papal bull not only should you quit you should run, casino 
13,first of all what they did was totally unconstitutional we're already on the list to be heard before the supreme court of the united states later this year it's a pity in this, casino 
14,i'm serious no interference you got it, casino 
15,but what happens when they do find out you don't have to have a license to work in a casino all you gotta do is apply for one the state law says you can work in a casino while they're processing your application they got a ten year backlog, casino 
16,on behalf of the teamsters' pension fund it is my pleasure to present to you he even played golf with the president, casino 
17,this is a very auspicious occasion as far as the world was concerned andy stone the head of the teamsters' pension fund was a legitimate guy, casino 
18,hold on a second hey, casino 
19,all right take care okay randy thank you, casino 
20,oh good not bad not bad in fact uh my wife's pregnant again, casino 
21,yeah i don't want her in there more than a few more minutes i will let her in the house for five minutes if you gentlemen will escort her out if she happens not to want to leave because i don't i, casino 
22,been right but who knows the worst was blue, casino 
23,i mean frank marino was there to meet him but so were the cops this time they wanted to pinch him for some diamond burglary in antwerp excuse me, casino 
24,right back i'll call you right back, casino 
25,702 472 1862 so l l l listen i te i te i tell you can i call you back in a few minutes, casino 
26,uh i'm not sam i wouldn't i know she's there don't fuck around with me, casino 
27,she's not here sam rothstein i want to talk to ginger put her on the phone, casino 
28,hello hey little dale evans, casino 
29,you fuckin' piece of shit okay, casino 
30,she's my wife look at me you did know that didn't you you knew that she's my wife huh hey look at me he was a moocher a card cheat a country club golf hustler a scumbag chasing dentists for a few bucks, casino 
31,but one thing i could never understand was that she could have everything under control except for her old pimp boyfriend lester diamond well, casino 
32,sam let me ask you a question you must really trust your wife that's right, casino 
33,ohhh i don't know, casino 
34,when did this happen honey oh no please please, casino 
35,what happened what happened who did this to you dad, casino 
36,amy amy open the door help daddy, casino 
37,oh have a good day at school hey be fuckin' nice calm be nice don't fuck up in here, casino 
38,i want to just talk i want to talk to that irish bitch ace don't listen don't don't make a scene all right, casino 
